intent|response
how to check license|The AssetGather Server software comes with an asset limit for each license. When the number of tagged assets in the AssetGather Database exceeds the purchased license limit, a message "License Asset Limit Breach."

validate license|The AssetGather Server software comes with an asset limit for each license. When the number of tagged assets in the AssetGather Database exceeds the purchased license limit, a message "License Asset Limit Breach."
license validation|The AssetGather Server software comes with an asset limit for each license. When the number of tagged assets in the AssetGather Database exceeds the purchased license limit, a message "License Asset Limit Breach."
validate software license|The AssetGather Server software comes with an asset limit for each license. When the number of tagged assets in the AssetGather Database exceeds the purchased license limit, a message "License Asset Limit Breach."
how do I validate license|The AssetGather Server software comes with an asset limit for each license. When the number of tagged assets in the AssetGather Database exceeds the purchased license limit, a message "License Asset Limit Breach."
license validation steps|The AssetGather Server software comes with an asset limit for each license. When the number of tagged assets in the AssetGather Database exceeds the purchased license limit, a message "License Asset Limit Breach."
perform license validation|The AssetGather Server software comes with an asset limit for each license. When the number of tagged assets in the AssetGather Database exceeds the purchased license limit, a message "License Asset Limit Breach."

dashboard reports|Dashboard Reports display different reports based on the latest 10 transactions.
reports on dashboard|Dashboard Reports display different reports based on the latest 10 transactions.
dashboard reporting|Dashboard Reports display different reports based on the latest 10 transactions.
view dashboard reports|Dashboard Reports display different reports based on the latest 10 transactions.
dashboard report section|Dashboard Reports display different reports based on the latest 10 transactions.
what are dashboard reports|Dashboard Reports display different reports based on the latest 10 transactions.

view reports|Dashboard Reports display different reports based on the latest 10 transactions.
show reports|Dashboard Reports display different reports based on the latest 10 transactions.
display reports|Dashboard Reports display different reports based on the latest 10 transactions.
see reports|Dashboard Reports display different reports based on the latest 10 transactions.
access reports|Dashboard Reports display different reports based on the latest 10 transactions.
check reports|Dashboard Reports display different reports based on the latest 10 transactions.

reports on dashboard|Dashboard Reports display different reports based on the latest 10 transactions.
dashboard reports view|Dashboard Reports display different reports based on the latest 10 transactions.
reports in dashboard|Dashboard Reports display different reports based on the latest 10 transactions.
dashboard report display|Dashboard Reports display different reports based on the latest 10 transactions.
how to see reports on dashboard|Dashboard Reports display different reports based on the latest 10 transactions.
view reports from dashboard|Dashboard Reports display different reports based on the latest 10 transactions.

tagging progress reports|Displays the graphical representation of the number of assets tagged by using a handheld reader. It illustrates the tagging progress by date.
tagging progress|Displays the graphical representation of the number of assets tagged by using a handheld reader. It illustrates the tagging progress by date.
asset tagging progress|Displays the graphical representation of the number of assets tagged by using a handheld reader. It illustrates the tagging progress by date.
view tagging progress reports|Displays the graphical representation of the number of assets tagged by using a handheld reader. It illustrates the tagging progress by date.
tagging status reports|Displays the graphical representation of the number of assets tagged by using a handheld reader. It illustrates the tagging progress by date.
show tagging progress|Displays the graphical representation of the number of assets tagged by using a handheld reader. It illustrates the tagging progress by date.

progress reports|Displays the graphical representation of the number of assets tagged by using a handheld reader. It illustrates the tagging progress by date.
view progress reports|Displays the graphical representation of the number of assets tagged by using a handheld reader. It illustrates the tagging progress by date.
progress reporting|Displays the graphical representation of the number of assets tagged by using a handheld reader. It illustrates the tagging progress by date.
show progress reports|Displays the graphical representation of the number of assets tagged by using a handheld reader. It illustrates the tagging progress by date.
check progress reports|Displays the graphical representation of the number of assets tagged by using a handheld reader. It illustrates the tagging progress by date.
progress status|Displays the graphical representation of the number of assets tagged by using a handheld reader. It illustrates the tagging progress by date.

view tagging progress|Displays the graphical representation of the number of assets tagged by using a handheld reader. It illustrates the tagging progress by date.
check tagging progress|Displays the graphical representation of the number of assets tagged by using a handheld reader. It illustrates the tagging progress by date.
see tagging progress|Displays the graphical representation of the number of assets tagged by using a handheld reader. It illustrates the tagging progress by date.
tagging progress status|Displays the graphical representation of the number of assets tagged by using a handheld reader. It illustrates the tagging progress by date.
show tagging progress|Displays the graphical representation of the number of assets tagged by using a handheld reader. It illustrates the tagging progress by date.
display tagging progress|Displays the graphical representation of the number of assets tagged by using a handheld reader. It illustrates the tagging progress by date.

manage asset|Here you can add an asset by filling the form.
asset management|Here you can add an asset by filling the form.
how to manage asset|Here you can add an asset by filling the form.
manage assets|Here you can add an asset by filling the form.
asset management section|Here you can add an asset by filling the form.
manage my assets|Here you can add an asset by filling the form.

import assets|Under Manage Assets tab, click on Import Assets option. An Import Assets screen is displayed. Click to select the .XLS/.XLSX file that contains the list of assets. Once you select the file and click Open, the file is automatically uploaded.
bulk import assets|Under Manage Assets tab, click on Import Assets option. An Import Assets screen is displayed. Click to select the .XLS/.XLSX file that contains the list of assets. Once you select the file and click Open, the file is automatically uploaded.
how to import assets|Under Manage Assets tab, click on Import Assets option. An Import Assets screen is displayed. Click to select the .XLS/.XLSX file that contains the list of assets. Once you select the file and click Open, the file is automatically uploaded.
asset import process|Under Manage Assets tab, click on Import Assets option. An Import Assets screen is displayed. Click to select the .XLS/.XLSX file that contains the list of assets. Once you select the file and click Open, the file is automatically uploaded.
upload asset list|Under Manage Assets tab, click on Import Assets option. An Import Assets screen is displayed. Click to select the .XLS/.XLSX file that contains the list of assets. Once you select the file and click Open, the file is automatically uploaded.
import asset data|Under Manage Assets tab, click on Import Assets option. An Import Assets screen is displayed. Click to select the .XLS/.XLSX file that contains the list of assets. Once you select the file and click Open, the file is automatically uploaded.

import asset file|Under Manage Assets tab, click on Import Assets option. An Import Assets screen is displayed. Click to select the .XLS/.XLSX file that contains the list of assets. Once you select the file and click Open, the file is automatically uploaded.
upload asset file|Under Manage Assets tab, click on Import Assets option. An Import Assets screen is displayed. Click to select the .XLS/.XLSX file that contains the list of assets. Once you select the file and click Open, the file is automatically uploaded.
import excel file|Under Manage Assets tab, click on Import Assets option. An Import Assets screen is displayed. Click to select the .XLS/.XLSX file that contains the list of assets. Once you select the file and click Open, the file is automatically uploaded.
asset file import|Under Manage Assets tab, click on Import Assets option. An Import Assets screen is displayed. Click to select the .XLS/.XLSX file that contains the list of assets. Once you select the file and click Open, the file is automatically uploaded.
how to import asset file|Under Manage Assets tab, click on Import Assets option. An Import Assets screen is displayed. Click to select the .XLS/.XLSX file that contains the list of assets. Once you select the file and click Open, the file is automatically uploaded.
import xlsx file|Under Manage Assets tab, click on Import Assets option. An Import Assets screen is displayed. Click to select the .XLS/.XLSX file that contains the list of assets. Once you select the file and click Open, the file is automatically uploaded.

upload asset file|Under Manage Assets tab, click on Import Assets option. An Import Assets screen is displayed. Click to select the .XLS/.XLSX file that contains the list of assets. Once you select the file and click Open, the file is automatically uploaded.
how to upload asset file|Under Manage Assets tab, click on Import Assets option. An Import Assets screen is displayed. Click to select the .XLS/.XLSX file that contains the list of assets. Once you select the file and click Open, the file is automatically uploaded.
asset file upload|Under Manage Assets tab, click on Import Assets option. An Import Assets screen is displayed. Click to select the .XLS/.XLSX file that contains the list of assets. Once you select the file and click Open, the file is automatically uploaded.
upload excel file|Under Manage Assets tab, click on Import Assets option. An Import Assets screen is displayed. Click to select the .XLS/.XLSX file that contains the list of assets. Once you select the file and click Open, the file is automatically uploaded.
file upload process|Under Manage Assets tab, click on Import Assets option. An Import Assets screen is displayed. Click to select the .XLS/.XLSX file that contains the list of assets. Once you select the file and click Open, the file is automatically uploaded.
upload asset data file|Under Manage Assets tab, click on Import Assets option. An Import Assets screen is displayed. Click to select the .XLS/.XLSX file that contains the list of assets. Once you select the file and click Open, the file is automatically uploaded.

business activity|This tab displays the business activities like the position of inventory and movement of inventory carried over in the organization for a specific period in specific locations for various assets. You can also view the list of recent alerts for any particular period of time includes inventory, transaction, difference report and custom report, For more details please download our user guide by clicking admin - about - user guide.
what is business activity|This tab displays the business activities like the position of inventory and movement of inventory carried over in the organization for a specific period in specific locations for various assets. You can also view the list of recent alerts for any particular period of time includes inventory, transaction, difference report and custom report, For more details please download our user guide by clicking admin - about - user guide.
business activity tab|This tab displays the business activities like the position of inventory and movement of inventory carried over in the organization for a specific period in specific locations for various assets. You can also view the list of recent alerts for any particular period of time includes inventory, transaction, difference report and custom report, For more details please download our user guide by clicking admin - about - user guide.
business activity section|This tab displays the business activities like the position of inventory and movement of inventory carried over in the organization for a specific period in specific locations for various assets. You can also view the list of recent alerts for any particular period of time includes inventory, transaction, difference report and custom report, For more details please download our user guide by clicking admin - about - user guide.
business activities|This tab displays the business activities like the position of inventory and movement of inventory carried over in the organization for a specific period in specific locations for various assets. You can also view the list of recent alerts for any particular period of time includes inventory, transaction, difference report and custom report, For more details please download our user guide by clicking admin - about - user guide.
show business activity|This tab displays the business activities like the position of inventory and movement of inventory carried over in the organization for a specific period in specific locations for various assets. You can also view the list of recent alerts for any particular period of time includes inventory, transaction, difference report and custom report, For more details please download our user guide by clicking admin - about - user guide.

view business activity|This tab displays the business activities like the position of inventory and movement of inventory carried over in the organization for a specific period in specific locations for various assets. You can also view the list of recent alerts for any particular period of time includes inventory, transaction, difference report and custom report, For more details please download our user guide by clicking admin - about - user guide.
check business activity|This tab displays the business activities like the position of inventory and movement of inventory carried over in the organization for a specific period in specific locations for various assets. You can also view the list of recent alerts for any particular period of time includes inventory, transaction, difference report and custom report, For more details please download our user guide by clicking admin - about - user guide.
see business activity|This tab displays the business activities like the position of inventory and movement of inventory carried over in the organization for a specific period in specific locations for various assets. You can also view the list of recent alerts for any particular period of time includes inventory, transaction, difference report and custom report, For more details please download our user guide by clicking admin - about - user guide.
business activity details|This tab displays the business activities like the position of inventory and movement of inventory carried over in the organization for a specific period in specific locations for various assets. You can also view the list of recent alerts for any particular period of time includes inventory, transaction, difference report and custom report, For more details please download our user guide by clicking admin - about - user guide.
access business activity|This tab displays the business activities like the position of inventory and movement of inventory carried over in the organization for a specific period in specific locations for various assets. You can also view the list of recent alerts for any particular period of time includes inventory, transaction, difference report and custom report, For more details please download our user guide by clicking admin - about - user guide.
display business activity|This tab displays the business activities like the position of inventory and movement of inventory carried over in the organization for a specific period in specific locations for various assets. You can also view the list of recent alerts for any particular period of time includes inventory, transaction, difference report and custom report, For more details please download our user guide by clicking admin - about - user guide.

inventory activity|This tab displays the business activities like the position of inventory and movement of inventory carried over in the organization for a specific period in specific locations for various assets. You can also view the list of recent alerts for any particular period of time includes inventory, transaction, difference report and custom report, For more details please download our user guide by clicking admin - about - user guide.
view inventory activity|This tab displays the business activities like the position of inventory and movement of inventory carried over in the organization for a specific period in specific locations for various assets. You can also view the list of recent alerts for any particular period of time includes inventory, transaction, difference report and custom report, For more details please download our user guide by clicking admin - about - user guide.
inventory activities|This tab displays the business activities like the position of inventory and movement of inventory carried over in the organization for a specific period in specific locations for various assets. You can also view the list of recent alerts for any particular period of time includes inventory, transaction, difference report and custom report, For more details please download our user guide by clicking admin - about - user guide.
check inventory activity|This tab displays the business activities like the position of inventory and movement of inventory carried over in the organization for a specific period in specific locations for various assets. You can also view the list of recent alerts for any particular period of time includes inventory, transaction, difference report and custom report, For more details please download our user guide by clicking admin - about - user guide.
inventory activity tab|This tab displays the business activities like the position of inventory and movement of inventory carried over in the organization for a specific period in specific locations for various assets. You can also view the list of recent alerts for any particular period of time includes inventory, transaction, difference report and custom report, For more details please download our user guide by clicking admin - about - user guide.
show inventory activity|This tab displays the business activities like the position of inventory and movement of inventory carried over in the organization for a specific period in specific locations for various assets. You can also view the list of recent alerts for any particular period of time includes inventory, transaction, difference report and custom report, For more details please download our user guide by clicking admin - about - user guide.

track and trace|You can track and trace the assets, location, and movement of assets from one location to another by using this option - For more details please download our user guide by clicking admin - about - user guide.
asset tracking|You can track and trace the assets, location, and movement of assets from one location to another by using this option - For more details please download our user guide by clicking admin - about - user guide.
how to track and trace|You can track and trace the assets, location, and movement of assets from one location to another by using this option - For more details please download our user guide by clicking admin - about - user guide.
track assets|You can track and trace the assets, location, and movement of assets from one location to another by using this option - For more details please download our user guide by clicking admin - about - user guide.
trace assets|You can track and trace the assets, location, and movement of assets from one location to another by using this option - For more details please download our user guide by clicking admin - about - user guide.
asset trace|You can track and trace the assets, location, and movement of assets from one location to another by using this option - For more details please download our user guide by clicking admin - about - user guide.

trace assets|You can track and trace the assets, location, and movement of assets from one location to another by using this option - For more details please download our user guide by clicking admin - about - user guide.
how to trace assets|You can track and trace the assets, location, and movement of assets from one location to another by using this option - For more details please download our user guide by clicking admin - about - user guide.
asset tracing|You can track and trace the assets, location, and movement of assets from one location to another by using this option - For more details please download our user guide by clicking admin - about - user guide.
trace my assets|You can track and trace the assets, location, and movement of assets from one location to another by using this option - For more details please download our user guide by clicking admin - about - user guide.
asset trace function|You can track and trace the assets, location, and movement of assets from one location to another by using this option - For more details please download our user guide by clicking admin - about - user guide.
trace asset location|You can track and trace the assets, location, and movement of assets from one location to another by using this option - For more details please download our user guide by clicking admin - about - user guide.

track asset movement|You can track and trace the assets, location, and movement of assets from one location to another by using this option - For more details please download our user guide by clicking admin - about - user guide.
asset movement tracking|You can track and trace the assets, location, and movement of assets from one location to another by using this option - For more details please download our user guide by clicking admin - about - user guide.
how to track asset movement|You can track and trace the assets, location, and movement of assets from one location to another by using this option - For more details please download our user guide by clicking admin - about - user guide.
monitor asset movement|You can track and trace the assets, location, and movement of assets from one location to another by using this option - For more details please download our user guide by clicking admin - about - user guide.
track movement of assets|You can track and trace the assets, location, and movement of assets from one location to another by using this option - For more details please download our user guide by clicking admin - about - user guide.
asset location tracking|You can track and trace the assets, location, and movement of assets from one location to another by using this option - For more details please download our user guide by clicking admin - about - user guide.

alerts and rules|The Alerts and Rules tab helps you to set up rules to raise alerts and view them. To create an alert or rule, please download our user guide by clicking admin - about - user guide or please email our support to support@assetpulse.com.
what are alerts and rules|The Alerts and Rules tab helps you to set up rules to raise alerts and view them. To create an alert or rule, please download our user guide by clicking admin - about - user guide or please email our support to support@assetpulse.com.
alerts and rules tab|The Alerts and Rules tab helps you to set up rules to raise alerts and view them. To create an alert or rule, please download our user guide by clicking admin - about - user guide or please email our support to support@assetpulse.com.
alert rules|The Alerts and Rules tab helps you to set up rules to raise alerts and view them. To create an alert or rule, please download our user guide by clicking admin - about - user guide or please email our support to support@assetpulse.com.
system alerts|The Alerts and Rules tab helps you to set up rules to raise alerts and view them. To create an alert or rule, please download our user guide by clicking admin - about - user guide or please email our support to support@assetpulse.com.
rule configuration|The Alerts and Rules tab helps you to set up rules to raise alerts and view them. To create an alert or rule, please download our user guide by clicking admin - about - user guide or please email our support to support@assetpulse.com.

setup alerts|The Alerts and Rules tab helps you to set up rules to raise alerts and view them. To create an alert or rule, please download our user guide by clicking admin - about - user guide or please email our support to support@assetpulse.com.
how to setup alerts|The Alerts and Rules tab helps you to set up rules to raise alerts and view them. To create an alert or rule, please download our user guide by clicking admin - about - user guide or please email our support to support@assetpulse.com.
configure alerts|The Alerts and Rules tab helps you to set up rules to raise alerts and view them. To create an alert or rule, please download our user guide by clicking admin - about - user guide or please email our support to support@assetpulse.com.
create alerts|The Alerts and Rules tab helps you to set up rules to raise alerts and view them. To create an alert or rule, please download our user guide by clicking admin - about - user guide or please email our support to support@assetpulse.com.
alert setup|The Alerts and Rules tab helps you to set up rules to raise alerts and view them. To create an alert or rule, please download our user guide by clicking admin - about - user guide or please email our support to support@assetpulse.com.
set up alert system|The Alerts and Rules tab helps you to set up rules to raise alerts and view them. To create an alert or rule, please download our user guide by clicking admin - about - user guide or please email our support to support@assetpulse.com.

create rules|The Alerts and Rules tab helps you to set up rules to raise alerts and view them. To create an alert or rule, please download our user guide by clicking admin - about - user guide or please email our support to support@assetpulse.com.
how to create rules|The Alerts and Rules tab helps you to set up rules to raise alerts and view them. To create an alert or rule, please download our user guide by clicking admin - about - user guide or please email our support to support@assetpulse.com.
setup rules|The Alerts and Rules tab helps you to set up rules to raise alerts and view them. To create an alert or rule, please download our user guide by clicking admin - about - user guide or please email our support to support@assetpulse.com.
configure rules|The Alerts and Rules tab helps you to set up rules to raise alerts and view them. To create an alert or rule, please download our user guide by clicking admin - about - user guide or please email our support to support@assetpulse.com.
rule creation|The Alerts and Rules tab helps you to set up rules to raise alerts and view them. To create an alert or rule, please download our user guide by clicking admin - about - user guide or please email our support to support@assetpulse.com.
add new rules|The Alerts and Rules tab helps you to set up rules to raise alerts and view them. To create an alert or rule, please download our user guide by clicking admin - about - user guide or please email our support to support@assetpulse.com.

location|You can view the details of the location and sub location in the hierarchical order in this tab. Click on a location or sub location to view the corresponding map. You can add, edit or delete a location or sub location.
location details|You can view the details of the location and sub location in the hierarchical order in this tab. Click on a location or sub location to view the corresponding map. You can add, edit or delete a location or sub location.
location information|You can view the details of the location and sub location in the hierarchical order in this tab. Click on a location or sub location to view the corresponding map. You can add, edit or delete a location or sub location.
location management|You can view the details of the location and sub location in the hierarchical order in this tab. Click on a location or sub location to view the corresponding map. You can add, edit or delete a location or sub location.
manage locations|You can view the details of the location and sub location in the hierarchical order in this tab. Click on a location or sub location to view the corresponding map. You can add, edit or delete a location or sub location.
location tab|You can view the details of the location and sub location in the hierarchical order in this tab. Click on a location or sub location to view the corresponding map. You can add, edit or delete a location or sub location.

view location|You can view the details of the location and sub location in the hierarchical order in this tab. Click on a location or sub location to view the corresponding map. You can add, edit or delete a location or sub location.
see location|You can view the details of the location and sub location in the hierarchical order in this tab. Click on a location or sub location to view the corresponding map. You can add, edit or delete a location or sub location.
check location|You can view the details of the location and sub location in the hierarchical order in this tab. Click on a location or sub location to view the corresponding map. You can add, edit or delete a location or sub location.
show location|You can view the details of the location and sub location in the hierarchical order in this tab. Click on a location or sub location to view the corresponding map. You can add, edit or delete a location or sub location.
display location|You can view the details of the location and sub location in the hierarchical order in this tab. Click on a location or sub location to view the corresponding map. You can add, edit or delete a location or sub location.
access location|You can view the details of the location and sub location in the hierarchical order in this tab. Click on a location or sub location to view the corresponding map. You can add, edit or delete a location or sub location.

location details|You can view the details of the location and sub location in the hierarchical order in this tab. Click on a location or sub location to view the corresponding map. You can add, edit or delete a location or sub location.
location information|You can view the details of the location and sub location in the hierarchical order in this tab. Click on a location or sub location to view the corresponding map. You can add, edit or delete a location or sub location.
get location details|You can view the details of the location and sub location in the hierarchical order in this tab. Click on a location or sub location to view the corresponding map. You can add, edit or delete a location or sub location.
show location details|You can view the details of the location and sub location in the hierarchical order in this tab. Click on a location or sub location to view the corresponding map. You can add, edit or delete a location or sub location.
location info|You can view the details of the location and sub location in the hierarchical order in this tab. Click on a location or sub location to view the corresponding map. You can add, edit or delete a location or sub location.
view location details|You can view the details of the location and sub location in the hierarchical order in this tab. Click on a location or sub location to view the corresponding map. You can add, edit or delete a location or sub location.

devices|Devices enables you to manage existing devices and create new devices. You can manage both fixed readers and mobile readers, and also manage the mobile download filters.
device management|Devices enables you to manage existing devices and create new devices. You can manage both fixed readers and mobile readers, and also manage the mobile download filters.
what are devices|Devices enables you to manage existing devices and create new devices. You can manage both fixed readers and mobile readers, and also manage the mobile download filters.
device section|Devices enables you to manage existing devices and create new devices. You can manage both fixed readers and mobile readers, and also manage the mobile download filters.
device tab|Devices enables you to manage existing devices and create new devices. You can manage both fixed readers and mobile readers, and also manage the mobile download filters.
device options|Devices enables you to manage existing devices and create new devices. You can manage both fixed readers and mobile readers, and also manage the mobile download filters.

manage devices|Devices enables you to manage existing devices and create new devices. You can manage both fixed readers and mobile readers, and also manage the mobile download filters.
how to manage devices|Devices enables you to manage existing devices and create new devices. You can manage both fixed readers and mobile readers, and also manage the mobile download filters.
device management options|Devices enables you to manage existing devices and create new devices. You can manage both fixed readers and mobile readers, and also manage the mobile download filters.
manage my devices|Devices enables you to manage existing devices and create new devices. You can manage both fixed readers and mobile readers, and also manage the mobile download filters.
device administration|Devices enables you to manage existing devices and create new devices. You can manage both fixed readers and mobile readers, and also manage the mobile download filters.
control devices|Devices enables you to manage existing devices and create new devices. You can manage both fixed readers and mobile readers, and also manage the mobile download filters.

device settings|Devices enables you to manage existing devices and create new devices. You can manage both fixed readers and mobile readers, and also manage the mobile download filters.
device configuration|Devices enables you to manage existing devices and create new devices. You can manage both fixed readers and mobile readers, and also manage the mobile download filters.
configure devices|Devices enables you to manage existing devices and create new devices. You can manage both fixed readers and mobile readers, and also manage the mobile download filters.
device setup|Devices enables you to manage existing devices and create new devices. You can manage both fixed readers and mobile readers, and also manage the mobile download filters.
set up devices|Devices enables you to manage existing devices and create new devices. You can manage both fixed readers and mobile readers, and also manage the mobile download filters.
device options|Devices enables you to manage existing devices and create new devices. You can manage both fixed readers and mobile readers, and also manage the mobile download filters.

general|Click the general tab to manage users, track user logs, change the logo, configure the email settings and backup settings. You can also view the list of scheduled reports. You can create users with different privileges in this tab.
general tab|Click the general tab to manage users, track user logs, change the logo, configure the email settings and backup settings. You can also view the list of scheduled reports. You can create users with different privileges in this tab.
general section|Click the general tab to manage users, track user logs, change the logo, configure the email settings and backup settings. You can also view the list of scheduled reports. You can create users with different privileges in this tab.
what is general|Click the general tab to manage users, track user logs, change the logo, configure the email settings and backup settings. You can also view the list of scheduled reports. You can create users with different privileges in this tab.
general options|Click the general tab to manage users, track user logs, change the logo, configure the email settings and backup settings. You can also view the list of scheduled reports. You can create users with different privileges in this tab.
general settings area|Click the general tab to manage users, track user logs, change the logo, configure the email settings and backup settings. You can also view the list of scheduled reports. You can create users with different privileges in this tab.

general settings|Click the general tab to manage users, track user logs, change the logo, configure the email settings and backup settings. You can also view the list of scheduled reports. You can create users with different privileges in this tab.
how to access general settings|Click the general tab to manage users, track user logs, change the logo, configure the email settings and backup settings. You can also view the list of scheduled reports. You can create users with different privileges in this tab.
